User,Type,Total Amount,Number of Transactions
User 2401,DEBIT,187978,31
User 2402,CREDIT,216732,47
User 2402,DEBIT,139827,32
User 2403,CREDIT,276894,51
User 2403,DEBIT,180037,35
User 2404,CREDIT,116037,25
User 2404,DEBIT,222918,40
User 2405,CREDIT,151611,32
User 2405,DEBIT,192774,40
User 2406,CREDIT,145704,30
User 2406,DEBIT,190981,34
User 2407,CREDIT,289930,55
User 2407,DEBIT,240643,42
User 2408,CREDIT,219882,42
User 2408,DEBIT,198899,45
User 2409,CREDIT,234954,45
User 2409,DEBIT,164647,32
User 2410,CREDIT,134827,29
User 2410,DEBIT,240203,42
User 2411,CREDIT,145924,28
User 2411,DEBIT,180194,33
User 2412,CREDIT,186074,43
User 2412,DEBIT,260195,48
User 2413,CREDIT,137484,28
User 2413,DEBIT,168062,30
User 2414,CREDIT,282918,48
User 2414,DEBIT,168666,42
User 2415,CREDIT,149307,31
User 2415,DEBIT,212723,38
User 2416,CREDIT,153258,30
User 2416,DEBIT,167076,30
User 2417,CREDIT,193635,38
User 2417,DEBIT,223501,40
User 2418,CREDIT,259725,48
User 2418,DEBIT,220601,40
User 2419,CREDIT,269449,52
User 2419,DEBIT,195578,43
User 2420,CREDIT,204220,43
User 2420,DEBIT,223576,49
User 2421,CREDIT,214283,44
User 2421,DEBIT,190259,41
User 2422,CREDIT,220107,38
User 2422,DEBIT,143896,34
User 2423,CREDIT,175086,36
User 2423,DEBIT,140832,35
User 2424,CREDIT,207864,38
User 2424,DEBIT,221657,46
User 2425,CREDIT,138922,31
User 2425,DEBIT,187452,34
User 2426,CREDIT,113446,25
User 2426,DEBIT,124021,25
User 2427,CREDIT,162102,32
User 2427,DEBIT,187173,40
User 2428,CREDIT,147147,28
User 2428,DEBIT,151654,30
User 2429,CREDIT,208726,41
User 2429,DEBIT,158420,35
User 2430,CREDIT,110385,23
User 2430,DEBIT,172857,38
User 2431,CREDIT,242054,50
User 2431,DEBIT,143641,29
User 2432,CREDIT,104364,20
User 2432,DEBIT,169137,30
User 2433,CREDIT,157975,35
User 2433,DEBIT,187675,35
User 2434,CREDIT,307070,53
User 2434,DEBIT,168757,38
User 2435,CREDIT,180481,32
User 2435,DEBIT,180151,35
User 2436,CREDIT,127593,31
User 2436,DEBIT,165957,42
User 2437,CREDIT,143890,35
User 2437,DEBIT,193448,39
User 2438,CREDIT,200960,36
User 2438,DEBIT,144358,32
User 2439,CREDIT,161573,32
User 2439,DEBIT,158025,34
User 2440,CREDIT,175613,37
User 2440,DEBIT,162135,31
User 2441,CREDIT,178198,42
User 2441,DEBIT,277065,53
User 2442,CREDIT,197142,37
User 2442,DEBIT,189415,46
User 2443,CREDIT,152182,32
User 2443,DEBIT,165447,38
User 2444,CREDIT,174636,37
User 2444,DEBIT,269502,55
User 2445,CREDIT,197965,45
User 2445,DEBIT,191807,38
User 2446,CREDIT,217581,46
User 2446,DEBIT,210690,46
User 2447,CREDIT,254017,48
User 2447,DEBIT,228612,46
User 2448,CREDIT,163275,34
User 2448,DEBIT,155212,35
User 2449,CREDIT,173219,34
User 2449,DEBIT,173659,36
User 2450,CREDIT,208032,40
User 2450,DEBIT,118175,24
User 2451,CREDIT,136842,25
User 2451,DEBIT,149067,28
User 2452,CREDIT,274093,52
User 2452,DEBIT,233939,47
User 2453,CREDIT,240865,51
User 2453,DEBIT,206593,43
User 2454,CREDIT,135656,33
User 2454,DEBIT,201564,36
User 2455,CREDIT,135593,30
User 2455,DEBIT,197600,33
User 2456,CREDIT,180703,36
User 2456,DEBIT,153209,31
User 2457,CREDIT,144277,28
User 2457,DEBIT,216074,41
User 2458,CREDIT,167815,37
User 2458,DEBIT,169688,35
User 2459,CREDIT,267219,52
User 2459,DEBIT,194626,45
User 2460,CREDIT,115234,24
User 2460,DEBIT,135902,28
User 2461,CREDIT,231521,48
User 2461,DEBIT,158136,34
User 2462,CREDIT,152793,36
User 2462,DEBIT,202924,44
User 2463,CREDIT,112945,24
User 2463,DEBIT,151980,26
User 2464,CREDIT,198192,44
User 2464,DEBIT,217935,37
User 2465,CREDIT,176171,40
User 2465,DEBIT,179123,35
User 2466,CREDIT,208844,44
User 2466,DEBIT,170808,38
User 2467,CREDIT,138690,28
User 2467,DEBIT,184957,35
User 2468,CREDIT,115180,29
User 2468,DEBIT,108875,23
User 2469,CREDIT,224439,49
User 2469,DEBIT,159840,34
User 2470,CREDIT,180208,38
User 2470,DEBIT,194510,39
User 2471,CREDIT,200882,41
User 2471,DEBIT,252033,49
User 2472,CREDIT,215219,45
User 2472,DEBIT,297273,55
User 2473,CREDIT,111343,26
User 2473,DEBIT,167157,27
User 2474,CREDIT,155563,33
User 2474,DEBIT,125316,31
User 2475,CREDIT,200445,40
User 2475,DEBIT,204248,44
User 2476,CREDIT,132880,27
User 2476,DEBIT,210246,40
User 2477,CREDIT,198524,41
User 2477,DEBIT,235638,43
User 2478,CREDIT,223542,39
User 2478,DEBIT,223303,45
User 2479,CREDIT,153374,31
User 2479,DEBIT,118134,21
User 2480,CREDIT,104954,22
User 2480,DEBIT,174954,33
User 2481,CREDIT,163843,39
User 2481,DEBIT,179398,40
User 2482,CREDIT,149874,26
User 2482,DEBIT,101293,24
User 2483,CREDIT,92948,25
User 2483,DEBIT,130514,27
User 2484,CREDIT,163459,36
User 2484,DEBIT,118653,29
User 2485,CREDIT,190413,37
User 2485,DEBIT,163790,25
User 2486,CREDIT,168841,32
User 2486,DEBIT,241301,41
User 2487,CREDIT,198911,41
User 2487,DEBIT,175194,28
User 2488,CREDIT,157378,32
User 2488,DEBIT,136759,34
User 2489,CREDIT,197466,33
User 2489,DEBIT,153499,32
User 2490,CREDIT,126214,25
User 2490,DEBIT,124478,25
User 2491,CREDIT,153552,31
User 2491,DEBIT,134440,22
User 2492,CREDIT,180168,37
User 2492,DEBIT,172766,33
User 2493,CREDIT,221282,43
User 2493,DEBIT,166563,34
User 2494,CREDIT,154674,34
User 2494,DEBIT,232960,42
User 2495,CREDIT,175235,43
User 2495,DEBIT,136952,31
User 2496,CREDIT,125868,25
User 2496,DEBIT,253329,44
User 2497,CREDIT,158943,30
User 2497,DEBIT,174233,37
User 2498,CREDIT,205493,47
User 2498,DEBIT,238320,46
User 2499,CREDIT,203050,36
User 2499,DEBIT,149721,29
User 2500,CREDIT,188261,39
User 2500,DEBIT,218792,48
User 2501,CREDIT,268105,55
User 2501,DEBIT,228476,43
User 2502,CREDIT,216256,41
User 2502,DEBIT,271961,45
User 2503,CREDIT,176749,36
User 2503,DEBIT,86049,21
User 2504,CREDIT,176424,37
User 2504,DEBIT,198163,40
User 2505,CREDIT,130201,30
User 2505,DEBIT,135341,31
User 2506,CREDIT,244953,48
User 2506,DEBIT,241795,51
User 2507,CREDIT,213310,49
User 2507,DEBIT,205823,38
User 2508,CREDIT,179320,33
User 2508,DEBIT,213592,38
User 2509,CREDIT,245371,48
User 2509,DEBIT,232062,45
User 2510,CREDIT,217374,41
User 2510,DEBIT,199837,38
User 2511,CREDIT,169831,38
User 2511,DEBIT,190680,39
User 2512,CREDIT,190171,40
User 2512,DEBIT,223911,49
User 2513,CREDIT,232127,45
User 2513,DEBIT,206502,44
User 2514,CREDIT,193762,35
User 2514,DEBIT,162540,37
User 2515,CREDIT,154352,30
User 2515,DEBIT,143018,28
User 2516,CREDIT,257654,49
User 2516,DEBIT,236563,47
User 2517,CREDIT,173714,33
User 2517,DEBIT,192506,33
User 2518,CREDIT,194016,39
User 2518,DEBIT,131319,26
User 2519,CREDIT,204365,40
User 2519,DEBIT,256668,48
User 2520,CREDIT,227682,39
User 2520,DEBIT,130121,34
User 2521,CREDIT,162311,40
User 2521,DEBIT,172415,30
User 2522,CREDIT,200287,37
User 2522,DEBIT,264332,51
User 2523,CREDIT,157001,28
User 2523,DEBIT,157050,31
User 2524,CREDIT,140548,31
User 2524,DEBIT,215011,43
User 2525,CREDIT,153293,27
User 2525,DEBIT,173269,41
User 2526,CREDIT,187601,34
User 2526,DEBIT,239585,42
User 2527,CREDIT,140511,29
User 2527,DEBIT,223515,35
User 2528,CREDIT,148081,27
User 2528,DEBIT,143907,27
User 2529,CREDIT,177212,36
User 2529,DEBIT,149329,34
User 2530,CREDIT,170390,41
User 2530,DEBIT,145745,30
User 2531,CREDIT,250389,48
User 2531,DEBIT,229480,46
User 2532,CREDIT,238303,42
User 2532,DEBIT,216201,43
User 2533,CREDIT,183867,40
User 2533,DEBIT,172779,40
User 2534,CREDIT,210346,38
User 2534,DEBIT,178217,35
User 2535,CREDIT,143025,31
User 2535,DEBIT,158518,33
User 2536,CREDIT,222556,45
User 2536,DEBIT,214975,40
User 2537,CREDIT,288590,51
User 2537,DEBIT,192920,34
User 2538,CREDIT,180147,31
User 2538,DEBIT,125643,26
User 2539,CREDIT,192919,37
User 2539,DEBIT,104950,23
User 2540,CREDIT,111314,26
User 2540,DEBIT,154878,28
User 2541,CREDIT,235954,53
User 2541,DEBIT,200205,39
User 2542,CREDIT,150234,27
User 2542,DEBIT,130286,24
User 2543,CREDIT,164472,30
User 2543,DEBIT,137316,28
User 2544,CREDIT,238725,50
User 2544,DEBIT,246823,50
User 2545,CREDIT,157007,35
User 2545,DEBIT,156601,29
User 2546,CREDIT,115693,22
User 2546,DEBIT,168841,32
User 2547,CREDIT,121466,31
User 2547,DEBIT,160031,29
User 2548,CREDIT,129846,25
User 2548,DEBIT,139688,27
User 2549,CREDIT,186886,34
User 2549,DEBIT,158844,32
User 2550,CREDIT,165921,30
User 2550,DEBIT,105381,30
User 2551,CREDIT,156817,35
User 2551,DEBIT,228079,44
User 2552,CREDIT,181112,38
User 2552,DEBIT,166778,32
User 2553,CREDIT,179533,38
User 2553,DEBIT,232370,43
User 2554,CREDIT,199526,40
User 2554,DEBIT,114370,28
User 2555,CREDIT,211038,38
User 2555,DEBIT,189396,35
User 2556,CREDIT,181649,37
User 2556,DEBIT,176425,34
User 2557,CREDIT,145402,29
User 2557,DEBIT,86343,22
User 2558,CREDIT,217929,44
User 2558,DEBIT,206030,41
User 2559,CREDIT,168398,33
User 2559,DEBIT,119701,31
User 2560,CREDIT,242760,46
User 2560,DEBIT,201037,50
User 2561,CREDIT,236000,45
User 2561,DEBIT,134761,24
User 2562,CREDIT,151952,33
User 2562,DEBIT,101267,23
User 2563,CREDIT,199591,40
User 2563,DEBIT,218009,45
User 2564,CREDIT,281601,53
User 2564,DEBIT,192854,47
User 2565,CREDIT,129902,27
User 2565,DEBIT,131749,28
User 2566,CREDIT,92845,22
User 2566,DEBIT,185517,35
User 2567,CREDIT,229850,42
User 2567,DEBIT,243554,44
User 2568,CREDIT,108359,19
User 2568,DEBIT,164750,33
User 2569,CREDIT,198005,34
User 2569,DEBIT,180008,41
User 2570,CREDIT,218912,45
User 2570,DEBIT,197085,42
User 2571,CREDIT,282264,53
User 2571,DEBIT,202400,45
User 2572,CREDIT,180145,34
User 2572,DEBIT,205997,37
User 2573,CREDIT,152882,29
User 2573,DEBIT,133459,29
User 2574,CREDIT,153474,30
User 2574,DEBIT,98516,23
User 2575,CREDIT,225161,48
User 2575,DEBIT,242713,48
User 2576,CREDIT,223968,46
User 2576,DEBIT,243744,50
User 2577,CREDIT,158448,34
User 2577,DEBIT,156005,29
User 2578,CREDIT,144745,29
User 2578,DEBIT,155965,30
User 2579,CREDIT,179401,40
User 2579,DEBIT,214258,49
User 2580,CREDIT,179852,34
User 2580,DEBIT,221869,35
User 2581,CREDIT,188879,40
User 2581,DEBIT,235272,47
User 2582,CREDIT,220151,45
User 2582,DEBIT,244029,44
User 2583,CREDIT,154774,33
User 2583,DEBIT,160479,33
User 2584,CREDIT,135295,30
User 2584,DEBIT,226755,45
User 2585,CREDIT,134266,24
User 2585,DEBIT,160765,30
User 2586,CREDIT,208766,45
User 2586,DEBIT,207420,44
User 2587,CREDIT,258718,49
User 2587,DEBIT,192921,35
User 2588,CREDIT,255156,50
User 2588,DEBIT,214112,44
User 2589,CREDIT,216554,41
User 2589,DEBIT,127269,29
User 2590,CREDIT,177426,34
User 2590,DEBIT,136253,24
User 2591,CREDIT,121299,31
User 2591,DEBIT,221962,45
User 2592,CREDIT,125445,26
User 2592,DEBIT,179410,40
User 2593,CREDIT,222988,43
User 2593,DEBIT,205647,42
User 2594,CREDIT,186406,40
User 2594,DEBIT,157772,25
User 2595,CREDIT,105472,19
User 2595,DEBIT,159094,36
User 2596,CREDIT,107718,21
User 2596,DEBIT,141668,30
User 2597,CREDIT,200733,39
User 2597,DEBIT,261079,54
User 2598,CREDIT,196150,38
User 2598,DEBIT,172901,40
User 2599,CREDIT,212608,40
User 2599,DEBIT,171069,35
User 2600,CREDIT,257976,54
User 2600,DEBIT,205490,40
User 2601,CREDIT,137539,29
User 2601,DEBIT,221113,39
User 2602,CREDIT,312252,56
User 2602,DEBIT,235890,43
User 2603,CREDIT,253954,50
User 2603,DEBIT,247266,50
User 2604,CREDIT,124158,20
User 2604,DEBIT,172767,38
User 2605,CREDIT,173999,38
User 2605,DEBIT,249530,43
User 2606,CREDIT,270612,49
User 2606,DEBIT,159837,36
User 2607,CREDIT,212106,35
User 2607,DEBIT,232678,43
User 2608,CREDIT,115929,22
User 2608,DEBIT,155399,34
User 2609,CREDIT,227625,41
User 2609,DEBIT,204080,43
User 2610,CREDIT,215797,45
User 2610,DEBIT,137850,31
User 2611,CREDIT,166065,35
User 2611,DEBIT,252632,45
User 2612,CREDIT,120183,26
User 2612,DEBIT,216265,39
User 2613,CREDIT,211700,41
User 2613,DEBIT,253578,49
User 2614,CREDIT,190656,38
User 2614,DEBIT,228818,44
User 2615,CREDIT,159493,34
User 2615,DEBIT,189564,35
User 2616,CREDIT,183128,42
User 2616,DEBIT,191775,38
User 2617,CREDIT,137575,29
User 2617,DEBIT,159081,29
User 2618,CREDIT,118991,25
User 2618,DEBIT,138744,26
User 2619,CREDIT,213005,45
User 2619,DEBIT,223192,52
User 2620,CREDIT,225184,39
User 2620,DEBIT,251122,49
User 2621,CREDIT,88669,21
User 2621,DEBIT,277928,45
User 2622,CREDIT,181104,34
User 2622,DEBIT,142962,34
User 2623,CREDIT,216194,42
User 2623,DEBIT,254812,55
User 2624,CREDIT,125452,27
User 2624,DEBIT,216561,39
User 2625,CREDIT,198623,38
User 2625,DEBIT,163751,33
User 2626,CREDIT,126095,30
User 2626,DEBIT,126117,23
User 2627,CREDIT,138728,25
User 2627,DEBIT,171204,31
User 2628,CREDIT,177231,34
User 2628,DEBIT,166119,37
User 2629,CREDIT,245316,46
User 2629,DEBIT,297940,53
User 2630,CREDIT,185104,34
User 2630,DEBIT,193527,39
User 2631,CREDIT,174477,27
User 2631,DEBIT,134436,26
User 2632,CREDIT,115096,30
User 2632,DEBIT,144286,33
User 2633,CREDIT,198203,41
User 2633,DEBIT,253771,54
User 2634,CREDIT,151648,33
User 2634,DEBIT,136782,30
User 2635,CREDIT,199896,39
User 2635,DEBIT,187471,40
User 2636,CREDIT,216536,44
User 2636,DEBIT,232561,40
User 2637,CREDIT,129883,27
User 2637,DEBIT,173158,30
User 2638,CREDIT,195653,38
User 2638,DEBIT,189563,41
User 2639,CREDIT,149254,34
User 2639,DEBIT,191992,38
User 2640,CREDIT,276036,54
User 2640,DEBIT,216326,44
User 2641,CREDIT,265130,49
User 2641,DEBIT,106702,23
User 2642,CREDIT,113473,23
User 2642,DEBIT,191827,35
User 2643,CREDIT,163362,38
User 2643,DEBIT,129604,24
User 2644,CREDIT,161111,27
User 2644,DEBIT,119485,25
User 2645,CREDIT,96491,24
User 2645,DEBIT,132221,31
User 2646,CREDIT,113899,25
User 2646,DEBIT,127722,25
User 2647,CREDIT,209746,41
User 2647,DEBIT,206408,38
User 2648,CREDIT,245847,52
User 2648,DEBIT,226903,46
User 2649,CREDIT,179454,37
User 2649,DEBIT,190396,38
User 2650,CREDIT,163900,33
User 2650,DEBIT,166197,33
User 2651,CREDIT,255179,42
User 2651,DEBIT,268557,50
User 2652,CREDIT,182160,44
User 2652,DEBIT,263183,55
User 2653,CREDIT,239677,37
User 2653,DEBIT,211827,48
User 2654,CREDIT,185426,37
User 2654,DEBIT,85396,19
User 2655,CREDIT,251702,45
User 2655,DEBIT,191668,38
User 2656,CREDIT,116985,24
User 2656,DEBIT,189798,36
User 2657,CREDIT,146704,22
User 2657,DEBIT,110387,29
User 2658,CREDIT,231360,47
User 2658,DEBIT,273180,46
User 2659,CREDIT,155981,32
User 2659,DEBIT,196987,36
User 2660,CREDIT,191036,37
User 2660,DEBIT,178573,32
User 2661,CREDIT,128015,21
User 2661,DEBIT,192377,34
User 2662,CREDIT,118505,26
User 2662,DEBIT,176352,33
User 2663,CREDIT,223119,44
User 2663,DEBIT,212292,40
User 2664,CREDIT,127560,29
User 2664,DEBIT,131083,33
User 2665,CREDIT,204502,38
User 2665,DEBIT,201520,40
User 2666,CREDIT,161992,35
User 2666,DEBIT,244808,45
User 2667,CREDIT,161657,34
User 2667,DEBIT,220058,41
User 2668,CREDIT,177043,33
User 2668,DEBIT,118466,25
User 2669,CREDIT,212607,45
User 2669,DEBIT,228632,43
User 2670,CREDIT,177247,33
User 2670,DEBIT,125916,24
User 2671,CREDIT,197929,41
User 2671,DEBIT,166708,30
User 2672,CREDIT,186075,35
User 2672,DEBIT,148822,33
User 2673,CREDIT,121061,24
User 2673,DEBIT,161187,29
User 2674,CREDIT,204926,45
User 2674,DEBIT,201540,38
User 2675,CREDIT,255702,49
User 2675,DEBIT,256437,51
User 2676,CREDIT,134154,27
User 2676,DEBIT,143005,28
User 2677,CREDIT,282419,58
User 2677,DEBIT,209966,40
User 2678,CREDIT,162782,38
User 2678,DEBIT,132078,25
User 2679,CREDIT,141991,29
User 2679,DEBIT,120256,26
User 2680,CREDIT,161844,33
User 2680,DEBIT,240501,49
User 2681,CREDIT,210389,45
User 2681,DEBIT,195508,39
User 2682,CREDIT,221013,44
User 2682,DEBIT,266773,49
User 2683,CREDIT,182341,34
User 2683,DEBIT,135585,29
User 2684,CREDIT,244329,43
User 2684,DEBIT,198293,38
User 2685,CREDIT,171686,36
User 2685,DEBIT,145740,29
User 2686,CREDIT,123364,24
User 2686,DEBIT,144444,30
User 2687,CREDIT,257029,50
User 2687,DEBIT,255103,46
User 2688,CREDIT,167185,30
User 2688,DEBIT,127814,22
User 2689,CREDIT,148386,33
User 2689,DEBIT,229993,48
User 2690,CREDIT,151390,34
User 2690,DEBIT,89444,24
User 2691,CREDIT,202560,41
User 2691,DEBIT,262423,52
User 2692,CREDIT,177741,40
User 2692,DEBIT,216047,36
User 2693,CREDIT,116111,25
User 2693,DEBIT,119845,27
User 2694,CREDIT,152151,33
User 2694,DEBIT,234964,50
User 2695,CREDIT,162619,36
User 2695,DEBIT,129411,32
User 2696,CREDIT,231567,44
User 2696,DEBIT,242486,48
User 2697,CREDIT,185835,38
User 2697,DEBIT,154763,42
User 2698,CREDIT,138941,29
User 2698,DEBIT,158085,31
User 2699,CREDIT,154903,32
User 2699,DEBIT,207055,49
User 2700,CREDIT,203071,46
User 2700,DEBIT,243212,51
User 2701,CREDIT,239358,54
User 2701,DEBIT,171560,36
User 2702,CREDIT,164669,32
User 2702,DEBIT,87032,18
User 2703,CREDIT,249476,49
User 2703,DEBIT,204447,43
User 2704,CREDIT,251891,48
User 2704,DEBIT,214350,46
User 2705,CREDIT,184525,36
User 2705,DEBIT,147087,32
User 2706,CREDIT,128971,30
User 2706,DEBIT,115287,24
User 2707,CREDIT,155156,29
User 2707,DEBIT,187246,33
User 2708,CREDIT,144240,31
User 2708,DEBIT,218177,38
User 2709,CREDIT,207078,45
User 2709,DEBIT,248983,44
User 2710,CREDIT,152443,26
User 2710,DEBIT,140225,26
User 2711,CREDIT,281385,51
User 2711,DEBIT,207968,47
User 2712,CREDIT,237011,40
User 2712,DEBIT,265667,44
User 2713,CREDIT,250101,45
User 2713,DEBIT,164539,38
User 2714,CREDIT,251852,51
User 2714,DEBIT,266275,47
User 2715,CREDIT,170618,38
User 2715,DEBIT,120447,23
User 2716,CREDIT,304385,56
User 2716,DEBIT,239344,44
User 2717,CREDIT,182216,38
User 2717,DEBIT,164805,35
User 2718,CREDIT,143815,33
User 2718,DEBIT,153034,29
User 2719,CREDIT,187187,37
User 2719,DEBIT,222457,50
User 2720,CREDIT,142280,35
User 2720,DEBIT,189581,37
User 2721,CREDIT,129691,26
User 2721,DEBIT,117013,25
User 2722,CREDIT,228685,48
User 2722,DEBIT,182338,32
User 2723,CREDIT,207548,39
User 2723,DEBIT,164354,30
User 2724,CREDIT,198099,40
User 2724,DEBIT,241342,45
User 2725,CREDIT,268943,45
User 2725,DEBIT,196423,42
User 2726,CREDIT,141861,22
User 2726,DEBIT,146708,28
User 2727,CREDIT,225540,41
User 2727,DEBIT,126126,31
User 2728,CREDIT,204344,40
User 2728,DEBIT,179807,41
User 2729,CREDIT,107044,26
User 2729,DEBIT,150857,29
User 2730,CREDIT,266185,54
User 2730,DEBIT,207254,43
User 2731,CREDIT,211358,40
User 2731,DEBIT,276967,48
User 2732,CREDIT,109663,25
User 2732,DEBIT,162035,34
User 2733,CREDIT,145579,28
User 2733,DEBIT,126104,29
User 2734,CREDIT,198602,42
User 2734,DEBIT,192633,34
User 2735,CREDIT,171561,44
User 2735,DEBIT,218190,42
User 2736,CREDIT,169947,34
User 2736,DEBIT,212707,49
User 2737,CREDIT,250547,48
User 2737,DEBIT,189621,39
User 2738,CREDIT,138317,31
User 2738,DEBIT,112193,24
User 2739,CREDIT,285173,52
User 2739,DEBIT,227919,45
User 2740,CREDIT,192068,38
User 2740,DEBIT,205517,41
User 2741,CREDIT,248004,49
User 2741,DEBIT,169404,40
User 2742,CREDIT,200470,39
User 2742,DEBIT,182089,39
User 2743,CREDIT,77459,19
User 2743,DEBIT,149825,31
User 2744,CREDIT,206714,37
User 2744,DEBIT,174433,38
User 2745,CREDIT,171028,38
User 2745,DEBIT,140704,25
User 2746,CREDIT,241903,43
User 2746,DEBIT,182843,48
User 2747,CREDIT,145349,30
User 2747,DEBIT,136601,31
User 2748,CREDIT,274952,50
User 2748,DEBIT,216158,39
User 2749,CREDIT,112937,24
User 2749,DEBIT,137110,26
User 2750,CREDIT,140817,29
User 2750,DEBIT,238192,46
User 2751,CREDIT,169042,34
User 2751,DEBIT,185022,36
User 2752,CREDIT,232324,50
User 2752,DEBIT,181408,43
User 2753,CREDIT,134231,27
User 2753,DEBIT,149297,25
User 2754,CREDIT,133648,25
User 2754,DEBIT,102533,25
User 2755,CREDIT,124765,32
User 2755,DEBIT,128476,31
User 2756,CREDIT,148241,31
User 2756,DEBIT,106103,22
User 2757,CREDIT,284903,49
User 2757,DEBIT,219491,49
User 2758,CREDIT,86641,21
User 2758,DEBIT,167266,31
User 2759,CREDIT,117628,26
User 2759,DEBIT,133293,25
User 2760,CREDIT,223140,40
User 2760,DEBIT,156808,28
User 2761,CREDIT,292517,58
User 2761,DEBIT,178338,40
User 2762,CREDIT,168589,32
User 2762,DEBIT,216055,41
User 2763,CREDIT,153127,32
User 2763,DEBIT,170097,40
User 2764,CREDIT,274807,51
User 2764,DEBIT,186482,35
User 2765,CREDIT,261007,49
User 2765,DEBIT,191495,36
User 2766,CREDIT,202942,39
User 2766,DEBIT,109765,24
User 2767,CREDIT,225660,48
User 2767,DEBIT,226470,48
User 2768,CREDIT,126085,28
User 2768,DEBIT,169099,31
User 2769,CREDIT,101097,21
User 2769,DEBIT,180483,38
User 2770,CREDIT,246253,44
User 2770,DEBIT,135220,23
User 2771,CREDIT,176119,34
User 2771,DEBIT,181325,39
User 2772,CREDIT,123854,23
User 2772,DEBIT,130235,27
User 2773,CREDIT,228029,47
User 2773,DEBIT,261920,50
User 2774,CREDIT,224179,43
User 2774,DEBIT,272281,56
User 2775,CREDIT,142909,33
User 2775,DEBIT,113228,25
User 2776,CREDIT,215441,42
User 2776,DEBIT,223924,45
User 2777,CREDIT,155568,29
User 2777,DEBIT,147260,32
User 2778,CREDIT,215605,41
User 2778,DEBIT,174714,34
User 2779,CREDIT,148147,29
User 2779,DEBIT,122459,23
User 2780,CREDIT,260627,47
User 2780,DEBIT,235599,47
User 2781,CREDIT,271616,53
User 2781,DEBIT,203225,40
User 2782,CREDIT,237093,49
User 2782,DEBIT,242678,48
User 2783,CREDIT,162603,31
User 2783,DEBIT,171651,38
User 2784,CREDIT,224575,41
User 2784,DEBIT,226579,44
User 2785,CREDIT,212158,44
User 2785,DEBIT,168961,35
User 2786,CREDIT,90195,18
User 2786,DEBIT,175975,33
User 2787,CREDIT,197986,34
User 2787,DEBIT,282696,52
User 2788,CREDIT,274387,58
User 2788,DEBIT,200372,38
User 2789,CREDIT,110266,23
User 2789,DEBIT,217308,36
User 2790,CREDIT,149443,36
User 2790,DEBIT,207186,45
User 2791,CREDIT,162682,29
User 2791,DEBIT,210808,38
User 2792,CREDIT,172127,35
User 2792,DEBIT,146280,29
User 2793,CREDIT,202438,38
User 2793,DEBIT,189054,45
User 2794,CREDIT,171001,31
User 2794,DEBIT,120397,24
User 2795,CREDIT,194379,47
User 2795,DEBIT,232281,52
User 2796,CREDIT,202403,43
User 2796,DEBIT,286338,54
User 2797,CREDIT,175846,34
User 2797,DEBIT,203071,39
User 2798,CREDIT,151676,34
User 2798,DEBIT,178246,37
User 2799,CREDIT,216938,44
User 2799,DEBIT,222222,44
User 2800,CREDIT,245637,42
User 2800,DEBIT,186768,39
User 2801,CREDIT,134485,35
User 2801,DEBIT,238389,52
User 2802,CREDIT,127308,27
User 2802,DEBIT,125741,23
User 2803,CREDIT,202169,42
User 2803,DEBIT,248373,51
User 2804,CREDIT,170623,32
User 2804,DEBIT,242202,45
User 2805,CREDIT,134303,29
User 2805,DEBIT,180283,33
User 2806,CREDIT,204892,42
User 2806,DEBIT,246681,47
User 2807,CREDIT,117741,29
User 2807,DEBIT,140405,30
User 2808,CREDIT,244756,53
User 2808,DEBIT,243901,42
User 2809,CREDIT,152431,35
User 2809,DEBIT,124129,27
User 2810,CREDIT,217717,40
User 2810,DEBIT,132527,30
User 2811,CREDIT,148931,34
User 2811,DEBIT,119591,27
User 2812,CREDIT,180079,36
User 2812,DEBIT,198451,37
User 2813,CREDIT,124951,28
User 2813,DEBIT,176884,33
User 2814,CREDIT,240192,44
User 2814,DEBIT,231044,44
User 2815,CREDIT,274289,50
User 2815,DEBIT,216838,47
User 2816,CREDIT,186993,32
User 2816,DEBIT,187450,31
User 2817,CREDIT,137724,31
User 2817,DEBIT,189958,35
User 2818,CREDIT,252473,49
User 2818,DEBIT,207677,46
User 2819,CREDIT,143433,29
User 2819,DEBIT,175553,34
User 2820,CREDIT,165192,34
User 2820,DEBIT,223329,50
User 2821,CREDIT,158350,26
User 2821,DEBIT,180875,32
User 2822,CREDIT,243468,52
User 2822,DEBIT,190900,41
User 2823,CREDIT,139790,29
User 2823,DEBIT,151410,29
User 2824,CREDIT,156382,25
User 2824,DEBIT,154881,29
User 2825,CREDIT,246611,50
User 2825,DEBIT,225851,47
User 2826,CREDIT,131336,25
User 2826,DEBIT,151298,28
User 2827,CREDIT,223679,48
User 2827,DEBIT,221001,38
User 2828,CREDIT,218387,52
User 2828,DEBIT,181304,37
User 2829,CREDIT,161906,33
User 2829,DEBIT,158868,35
User 2830,CREDIT,219634,47
User 2830,DEBIT,271656,52
User 2831,CREDIT,166195,34
User 2831,DEBIT,163397,37
User 2832,CREDIT,109667,20
User 2832,DEBIT,133415,30
User 2833,CREDIT,169642,35
User 2833,DEBIT,150435,30
User 2834,CREDIT,281774,52
User 2834,DEBIT,200040,45
User 2835,CREDIT,219626,54
User 2835,DEBIT,204353,42
User 2836,CREDIT,163123,38
User 2836,DEBIT,208518,44
User 2837,CREDIT,125147,27
User 2837,DEBIT,225390,44
